FileNumber,HII_EFF_FACTOR,ION_Tvir_MIN,R_BUBBLE_MAX,HII_EFF_FACTOR_bin,ION_Tvir_MIN_bin,R_BUBBLE_MAX_bin
0,180.2809383977915,5.851083964228399,12.413590420460212,23,24,13
1,102.08029078274686,4.656410119586264,7.678980832275076,13,9,5
2,75.59462241499726,4.682562783898182,11.499151457803162,10,9,11
3,18.24167638702861,5.435987442651249,17.719223565927912,2,18,22
4,153.2810217160959,5.580031358596278,13.34888194136209,20,20,14
5,104.79877353054404,5.954180632966645,6.468220220779823,13,25,3
6,95.48129132981666,5.596268175330745,14.357840612581631,12,20,16
7,103.9428121979596,4.526607969867922,6.210547650951146,13,7,3
8,177.9585049889968,4.73454833848728,8.94207700941119,23,10,7
9,38.74790028769701,4.8365749332189445,12.905973669060748,5,11,14
10,53.3720448552409,5.409135361100861,5.695220792929788,7,18,2
11,178.88265802584914,5.539785059752234,12.81724783526009,23,20,14
12,70.41764441707362,4.496080954039502,16.018904959342798,9,7,19
13,49.37259204603094,5.659483438272027,6.95931158719087,6,21,4
14,129.57057051932003,5.715880452063036,6.709209548149048,16,22,3
15,158.0408766961706,5.692730556471323,9.73130972919294,20,22,8
16,178.03825398438246,5.728325460070138,14.81291677824817,23,22,17
17,90.22562943860883,5.724268671328978,9.100922354448752,11,22,7
18,51.82614114782957,4.754860243300132,13.864588349767226,7,10,15
19,77.352585680367,5.61061772483099,5.431148116959297,10,21,1
20,152.81635986749254,4.495592166690957,7.089657262064084,19,7,4
21,127.48564835612244,5.297078466227937,7.922130550018289,16,17,5
22,47.49067634002175,4.697868628420399,6.807214258697053,6,9,4
23,10.293428510121732,5.513864796049957,6.094429331502775,1,19,2
24,57.3011577795931,5.422526141855179,14.565647392666076,7,18,16
25,120.10994973495296,4.890502803761891,10.996297384308694,15,12,10
26,81.10933095886439,5.839760033268511,19.048630554561058,10,24,24
27,25.797316077918296,5.595254211805466,19.62587173311868,3,20,25
28,90.18188673317236,4.384315316156602,10.694784912464463,11,5,10
29,11.982884265548902,4.794887663586959,18.6094792342096,1,10,23
30,134.17815570837033,5.161056143623336,9.1498069344094,17,15,7
31,191.3109591943829,5.009267175023627,12.660841795401652,24,13,13
32,129.06703064169926,4.928283860668659,14.908033707777944,16,12,17
33,95.64810774021365,4.644964830286992,15.687231160224428,12,9,18
34,15.23776508433583,5.636985618910994,10.43684755962774,2,21,10
35,171.6588372858663,5.968380081737392,13.887279936073403,22,25,15
36,12.890974484604104,5.753023730019287,6.577252678430615,2,22,3
37,80.27395569260781,5.96613983049702,15.916130342885126,10,25,19
38,161.91683041784626,5.072958754182713,16.489165909196466,21,14,20
39,182.63786444840284,4.903575633238614,6.090452807863136,23,12,2
40,132.42625700750838,4.920606471441134,19.0347567994948,17,12,24
41,33.87042320374022,4.974510603577325,6.855745378989156,4,13,4
42,89.25186910609105,5.082601111222154,11.205508837000066,11,14,11
43,54.38627491779925,5.109794192966077,6.519518134607249,7,14,3
